Coach,School,Conference,W_2016,L_2016,W-L%_2016,AP_Pre_2016,AP_Post_2016,NCAA_Tournament_2016,Since_2016,W_Career_2016,L_Career_2016,W-L%_Career_2016,NCAA_Career_2016,S16_Career_2016,FF_Career_2016,Chmp_Career_2016,W_Overall_2016,L_Overall_2016,W-L%_Overall_2016,NCAA_Overall_2016,S16_Overall_2016,FF_Overall_2016,Chmp_Overall_2016
Tony Benford,North Texas,CUSA,8,22,0.267,,,,2012-13,62,95,0.395,,,,,62,95,0.395,,,,
Bill Coen,Northeastern,CAA,15,16,0.484,,,,2006-07,178,176,0.503,1,,,,178,176,0.503,1,,,
Jack Murphy,Northern Arizona,Big Sky,9,23,0.281,,,,2012-13,63,101,0.384,,,,,63,101,0.384,,,,
Jeff Linder,Northern Colorado,Big Sky,11,18,0.379,,,,2016-17,11,18,0.379,,,,,11,18,0.379,,,,
Mark Montgomery,Northern Illinois,MAC,15,17,0.469,,,,2011-12,75,114,0.397,,,,,75,114,0.397,,,,
Ben Jacobson,Northern Iowa,MVC,14,16,0.467,,,,2006-07,234,134,0.636,4,1,,,234,134,0.636,4,1,,
John Brannen,Northern Kentucky,Horizon,24,11,0.686,,,Lost First Round,2015-16,33,32,0.508,1,,,,34,33,0.507,1,,,
Chris Collins,Northwestern,Big Ten,24,12,0.667,,,Lost Second Round,2013-14,73,60,0.549,1,,,,73,60,0.549,1,,,
Mike McConathy,Northwestern State,Southland,13,16,0.448,,,,1999-00,280,276,0.504,3,,,,280,276,0.504,3,,,
Mike Brey,Notre Dame,ACC,26,10,0.722,,14,Lost Second Round,2000-01,382,187,0.671,12,3,,,481,239,0.668,14,3,,
Greg Kampe,Oakland,Horizon,25,9,0.735,,,,1999-00,319,262,0.549,3,,,,319,262,0.549,3,,,
Saul Phillips,Ohio,MAC,20,11,0.645,,,,2014-15,53,43,0.552,,,,,187,127,0.596,2,,,
Thad Matta,Ohio State,Big Ten,17,15,0.531,,,,2004-05,337,123,0.733,9,5,2,,439,154,0.74,13,6,2,
Lon Kruger,Oklahoma,Big 12,11,20,0.355,,,,2011-12,122,77,0.613,4,2,1,,601,381,0.612,17,5,2,
Brad Underwood,Oklahoma State,Big 12,20,13,0.606,,,Lost First Round,2016-17,20,13,0.606,1,,,,109,27,0.801,4,,,
Jeff Jones,Old Dominion,CUSA,19,12,0.613,,,,2013-14,89,51,0.636,,,,,446,338,0.569,7,2,,
Scott Sutton,Oral Roberts,Summit,8,22,0.267,,,,1999-00,328,247,0.57,3,,,,328,247,0.57,3,,,
Dana Altman,Oregon,Pac-12,33,6,0.846,5,9,Lost National Semifinal,2010-11,187,70,0.728,5,3,1,,597,313,0.656,13,3,1,
Wayne Tinkle,Oregon State,Pac-12,5,27,0.156,,,,2014-15,41,54,0.432,1,,,,199,145,0.578,4,,,
Damon Stoudamire,Pacific,WCC,11,22,0.333,,,,2016-17,11,22,0.333,,,,,11,22,0.333,,,,
Patrick Chambers,Penn State,Big Ten,15,18,0.455,,,,2011-12,87,109,0.444,,,,,129,137,0.485,1,,,
Steve Donahue,Penn,Ivy,13,15,0.464,,,,2015-16,24,32,0.429,,,,,224,246,0.477,3,1,,
Marty Wilson,Pepperdine,WCC,9,22,0.29,,,,1995-96,85,113,0.429,,,,,85,113,0.429,,,,
Kevin Stallings,Pitt,ACC,16,17,0.485,,,,2016-17,16,17,0.485,,,,,471,300,0.611,9,2,,
Terry Porter,Portland,WCC,11,22,0.333,,,,2016-17,11,22,0.333,,,,,11,22,0.333,,,,
Tyler Geving,Portland State,Big Sky,15,16,0.484,,,,2009-10,112,133,0.457,,,,,112,133,0.457,,,,
Byron Smith,Prairie View,SWAC,13,20,0.394,,,,2015-16,19,26,0.422,,,,,19,26,0.422,,,,
Gregg Nibert,Presbyterian,Big South,5,25,0.167,,,,2007-08,89,218,0.29,,,,,89,218,0.29,,,,
Mitch Henderson,Princeton,Ivy,23,7,0.767,,,Lost First Round,2011-12,119,60,0.665,1,,,,119,60,0.665,1,,,
Ed Cooley,Providence,Big East,20,13,0.606,,,,2011-12,123,80,0.606,4,,,,215,149,0.591,4,,,
Matt Painter,Purdue,Big Ten,27,8,0.771,15,15,Lost Regional Semifinal,2005-06,265,142,0.651,9,3,,,290,147,0.664,10,3,,
Tom Moore,Quinnipiac,MAAC,10,21,0.323,,,,2007-08,162,150,0.519,,,,,162,150,0.519,,,,
Mike Jones,Radford,Big South,14,18,0.438,,,,2011-12,93,103,0.474,,,,,93,103,0.474,,,,
Dan Hurley,Rhode Island,A-10,25,10,0.714,23,,Lost Second Round,2012-13,87,74,0.54,1,,,,125,97,0.563,1,,,
Mike Rhoades,Rice,CUSA,23,12,0.657,,,,2014-15,47,52,0.475,,,,,47,52,0.475,,,,
Chris Mooney,Richmond,A-10,22,13,0.629,,,,2005-06,225,175,0.562,2,1,,,243,187,0.565,2,1,,
Kevin Baggett,Rider,MAAC,18,15,0.545,,,,2012-13,85,79,0.518,,,,,85,79,0.518,,,,
Andrew Toole,Robert Morris,NEC,14,19,0.424,,,,2010-11,134,106,0.558,1,,,,134,106,0.558,1,,,
Steve Pikiell,Rutgers,Big Ten,15,18,0.455,,,,2016-17,15,18,0.455,,,,,207,174,0.543,1,,,
Brian Katz,Sacramento State,Big Sky,13,18,0.419,,,,2008-09,104,165,0.387,,,,,104,165,0.387,,,,
Anthony Latina,Sacred Heart,NEC,13,19,0.406,,,,2013-14,45,80,0.36,,,,,45,80,0.36,,,,
Rob Krimmel,Saint Francis (PA),NEC,17,17,0.5,,,,2012-13,61,95,0.391,,,,,61,95,0.391,,,,
Phil Martelli,St. Joseph's,A-10,11,20,0.355,,,,1995-96,414,293,0.586,7,2,,,414,293,0.586,7,2,,
Travis Ford,Saint Louis,A-10,12,21,0.364,,,,2016-17,12,21,0.364,,,,,290,247,0.54,6,,,
Randy Bennett,Saint Mary's,WCC,29,5,0.853,17,22,Lost Second Round,2001-02,362,156,0.699,6,1,,,362,156,0.699,6,1,,
John Dunne,St. Peter's,MAAC,23,13,0.639,,,,2006-07,139,207,0.402,1,,,,139,207,0.402,1,,,
Jason Hooten,Sam Houston State,Southland,21,13,0.618,,,,2010-11,137,98,0.583,,,,,137,98,0.583,,,,
Scott Padgett,Samford,Southern,20,16,0.556,,,,2014-15,47,54,0.465,,,,,47,54,0.465,,,,
Lamont Smith,San Diego,WCC,13,18,0.419,,,,2015-16,22,39,0.361,,,,,22,39,0.361,,,,
Steve Fisher*,San Diego State,MWC,19,14,0.576,,,,1999-00,386,209,0.649,8,2,,,571,290,0.663,15,6,3,1
Kyle Smith,San Francisco,WCC,20,13,0.606,,,,2016-17,20,13,0.606,,,,,121,95,0.56,,,,
Dave Wojcik,San Jose State,MWC,14,16,0.467,,,,2013-14,32,90,0.262,,,,,32,90,0.262,,,,
Herb Sendek,Santa Clara,WCC,17,16,0.515,,,,2016-17,17,16,0.515,,,,,430,311,0.58,8,1,,
Horace Broadnax,Savannah State,MEAC,13,16,0.448,,,,2005-06,156,211,0.425,,,,,198,299,0.398,,,,
Cameron Dollar,Seattle,WAC,13,17,0.433,,,,2009-10,107,138,0.437,,,,,107,138,0.437,,,,
Kevin Willard,Seton Hall,Big East,21,12,0.636,,,Lost First Round,2010-11,128,102,0.557,2,,,,173,151,0.534,2,,,
Jimmy Patsos,Siena,MAAC,17,17,0.5,,,,2013-14,69,68,0.504,,,,,214,203,0.513,1,,,
Matthew Graves,South Alabama,Sun Belt,14,18,0.438,,,,2013-14,51,78,0.395,,,,,51,78,0.395,,,,
Frank Martin,South Carolina,SEC,26,11,0.703,,,Lost National Semifinal,2012-13,96,74,0.565,1,1,1,,213,128,0.625,5,2,1,
Murray Garvin,South Carolina State,MEAC,11,20,0.355,,,,2012-13,52,85,0.38,,,,,52,85,0.38,,,,
Eddie Payne,USC Upstate,A-Sun,17,16,0.515,,,,2007-08,134,187,0.417,,,,,240,335,0.417,1,,,
Craig Smith,South Dakota,Summit,22,12,0.647,,,,2014-15,53,46,0.535,,,,,53,46,0.535,,,,
T.J. Otzelberger,South Dakota State,Summit,18,17,0.514,,,Lost First Round,2016-17,18,17,0.514,1,,,,18,17,0.514,1,,,
Murry Bartow,South Florida,AAC,1,16,0.059,,,,2016-17,1,16,0.059,,,,,328,264,0.554,4,,,
Orlando Antigua,South Florida,AAC,6,7,0.462,,,,2014-15,23,55,0.295,,,,,23,55,0.295,,,,
Rick Ray,Southeast Missouri State,OVC,15,18,0.455,,,,2015-16,20,42,0.323,,,,,57,102,0.358,,,,
Jay Ladner,Southeastern Louisiana,Southland,16,16,0.5,,,,2014-15,37,60,0.381,,,,,37,60,0.381,,,,
Roman Banks,Southern,SWAC,15,18,0.455,,,,2011-12,114,85,0.573,2,,,,114,85,0.573,2,,,
Andy Enfield,USC,Pac-12,26,10,0.722,,,Lost Second Round,2013-14,70,64,0.522,2,,,,111,92,0.547,3,1,,
Barry Hinson,Southern Illinois,MVC,17,16,0.515,,,,2012-13,79,83,0.488,,,,,284,223,0.56,,,,
Jon Harris,SIU-Edwardsville,OVC,6,24,0.2,,,,2015-16,12,46,0.207,,,,,12,46,0.207,,,,
Tim Jankovich,SMU,AAC,30,5,0.857,,11,Lost First Round,2015-16,39,5,0.886,1,,,,196,126,0.609,1,,,
Doc Sadler,Southern Miss,CUSA,9,22,0.29,,,,2014-15,26,63,0.292,,,,,175,170,0.507,1,,,
Todd Simon,Southern Utah,Big Sky,6,27,0.182,,,,2016-17,6,27,0.182,,,,,15,35,0.3,,,,
Mark Schmidt,St. Bonaventure,A-10,20,12,0.625,,,,2007-08,166,144,0.535,1,,,,248,234,0.515,1,,,
Glenn Braica,St. Francis (NY),NEC,4,27,0.129,,,,2010-11,102,118,0.464,,,,,102,118,0.464,,,,
Chris Mullin,St. John's (NY),Big East,14,19,0.424,,,,2015-16,22,43,0.338,,,,,22,43,0.338,,,,
Jerod Haase,Stanford,Pac-12,14,17,0.452,,,,2016-17,14,17,0.452,,,,,94,70,0.573,1,,,
Kyle Keller,Stephen F. Austin,Southland,18,15,0.545,,,,2016-17,18,15,0.545,,,,,18,15,0.545,,,,
Corey Williams,Stetson,A-Sun,11,21,0.344,,,,2013-14,39,89,0.305,,,,,39,89,0.305,,,,
Jeff Boals,Stony Brook,AEC,18,14,0.562,,,,2016-17,18,14,0.562,,,,,18,14,0.562,,,,
Jim Boeheim*,Syracuse,ACC,19,15,0.559,19,,,1976-77,1004,357,0.738,32,17,5,1,1004,357,0.738,32,17,5,1
Fran Dunphy,Temple,AAC,16,16,0.5,,,,2006-07,230,136,0.628,7,,,,540,299,0.644,16,,,
Rick Barnes,Tennessee,SEC,16,16,0.5,,,,2015-16,31,35,0.47,,,,,635,349,0.645,22,6,1,
Anthony Stewart,UT-Martin,OVC,22,13,0.629,,,,2016-17,22,13,0.629,,,,,22,13,0.629,,,,
Dana Ford,Tennessee State,OVC,17,13,0.567,,,,2014-15,42,50,0.457,,,,,42,50,0.457,,,,
Steve Payne,Tennessee Tech,OVC,12,20,0.375,,,,2011-12,91,97,0.484,,,,,91,97,0.484,,,,
Shaka Smart,Texas,Big 12,11,22,0.333,21,,,2015-16,31,35,0.47,1,,,,194,91,0.681,6,1,1,
Billy Kennedy,Texas A&M,SEC,16,15,0.516,,,,2011-12,115,85,0.575,1,1,,,326,264,0.553,3,1,,
Willis Wilson,Texas A&M-Corpus Christi,Southland,24,12,0.667,,,,2011-12,99,97,0.505,,,,,317,344,0.48,,,,
Scott Cross,Texas-Arlington,Sun Belt,27,9,0.75,,,,2006-07,204,148,0.58,1,,,,204,148,0.58,1,,,
Jamie Dixon,TCU,Big 12,24,15,0.615,,,,2016-17,24,15,0.615,,,,,352,138,0.718,11,3,,
Tim Floyd*,UTEP,CUSA,15,17,0.469,,,,2010-11,137,94,0.593,,,,,464,275,0.628,8,2,,
Lew Hill,Texas-Rio Grande Valley,WAC,10,22,0.312,,,,2016-17,10,22,0.312,,,,,10,22,0.312,,,,
Steve Henson,UTSA,CUSA,14,19,0.424,,,,2016-17,14,19,0.424,,,,,14,19,0.424,,,,
Mike Davis,Texas Southern,SWAC,23,12,0.657,,,Lost First Round,2012-13,99,69,0.589,3,,,,336,221,0.603,8,1,1,
Danny Kaspar,Texas State,Sun Belt,22,14,0.611,,,,2013-14,59,70,0.457,,,,,305,211,0.591,1,,,
Chris Beard,Texas Tech,Big 12,18,14,0.562,,,,2016-17,18,14,0.562,,,,,48,19,0.716,1,,,
Tod Kowalczyk,Toledo,MAC,17,17,0.5,,,,2010-11,119,110,0.52,,,,,255,222,0.535,,,,
Pat Skerry,Towson,CAA,20,13,0.606,,,,2011-12,96,101,0.487,,,,,96,101,0.487,,,,
Phil Cunningham,Troy,Sun Belt,22,15,0.595,,,Lost First Round,2013-14,52,76,0.406,1,,,,52,76,0.406,1,,,
Mike Dunleavy,Tulane,AAC,6,25,0.194,,,,2016-17,6,25,0.194,,,,,6,25,0.194,,,,
Frank Haith,Tulsa,AAC,15,17,0.469,,,,2014-15,58,40,0.592,1,,,,263,169,0.609,4,,,
Steve Alford,UCLA,Pac-12,31,5,0.861,16,8,Lost Regional Semifinal,2013-14,96,45,0.681,3,3,,,481,251,0.657,10,4,,
Larry Krystkowiak,Utah,Pac-12,20,12,0.625,,,,2011-12,115,85,0.575,2,1,,,157,105,0.599,4,1,,
Tim Duryea,Utah State,MWC,15,17,0.469,,,,2015-16,31,32,0.492,,,,,31,32,0.492,,,,
Mark Pope,Utah Valley,WAC,17,17,0.5,,,,2015-16,29,35,0.453,,,,,29,35,0.453,,,,
Matt Lottich,Valparaiso,Horizon,24,9,0.727,,,,2016-17,24,9,0.727,,,,,24,9,0.727,,,,
Bryce Drew,Vanderbilt,SEC,19,16,0.543,,,Lost First Round,2016-17,19,16,0.543,1,,,,143,65,0.688,3,,,
John Becker,Vermont,AEC,29,6,0.829,,,Lost First Round,2011-12,139,69,0.668,2,,,,139,69,0.668,2,,,
Jay Wright,Villanova,Big East,32,4,0.889,4,1,Lost Second Round,2001-02,386,161,0.706,12,5,2,1,508,246,0.674,14,5,2,1
Tony Bennett,Virginia,ACC,23,11,0.676,8,24,Lost Second Round,2009-10,188,83,0.694,5,2,,,257,116,0.689,7,3,,
Will Wade,VCU,A-10,26,9,0.743,,,Lost First Round,2015-16,51,20,0.718,2,,,,91,45,0.669,2,,,
Dan Earl,VMI,Southern,6,24,0.2,,,,2015-16,15,45,0.25,,,,,15,45,0.25,,,,
Buzz Williams,Virginia Tech,ACC,22,11,0.667,,,Lost First Round,2014-15,53,48,0.525,1,,,,206,134,0.606,6,3,,
Bashir Mason,Wagner,NEC,16,14,0.533,,,,2012-13,87,69,0.558,,,,,87,69,0.558,,,,
Danny Manning,Wake Forest,ACC,19,14,0.576,,,,2014-15,43,53,0.448,1,,,,81,82,0.497,2,,,
Lorenzo Romar,Washington,Pac-12,9,22,0.29,,,,2002-03,298,196,0.603,6,3,,,391,284,0.579,7,3,,
Ernie Kent,Washington State,Pac-12,13,18,0.419,,,,2014-15,35,58,0.376,,,,,360,311,0.537,6,2,,
Randy Rahe,Weber State,Big Sky,20,14,0.588,,,,2006-07,228,127,0.642,3,,,,228,127,0.642,3,,,
Bob Huggins,West Virginia,Big 12,28,9,0.757,20,13,Lost Regional Semifinal,2007-08,229,119,0.658,8,4,1,,747,305,0.71,23,8,2,
Larry Hunter,Western Carolina,Southern,9,23,0.281,,,,2005-06,180,210,0.462,,,,,384,358,0.518,1,,,
Bill Wright,Western Illinois,Summit,8,20,0.286,,,,2014-15,26,57,0.313,,,,,26,57,0.313,,,,
Rick Stansbury,Western Kentucky,CUSA,15,17,0.469,,,,2016-17,15,17,0.469,,,,,308,183,0.627,6,,,
Steve Hawkins,Western Michigan,MAC,16,16,0.5,,,,2003-04,253,204,0.554,2,,,,253,204,0.554,2,,,
Gregg Marshall,Wichita State,MVC,31,5,0.861,,19,Lost Second Round,2007-08,261,90,0.744,6,2,1,,455,173,0.725,13,2,1,
Tony Shaver,William & Mary,CAA,17,14,0.548,,,,2003-04,193,239,0.447,,,,,193,239,0.447,,,,
Pat Kelsey,Winthrop,Big South,26,7,0.788,,,Lost First Round,2012-13,102,59,0.634,1,,,,102,59,0.634,1,,,
Greg Gard,Wisconsin,Big Ten,27,10,0.73,9,25,Lost Regional Semifinal,2015-16,42,18,0.7,2,2,,,42,18,0.7,2,2,,
Mike Young,Wofford,Southern,16,17,0.485,,,,2002-03,248,226,0.523,4,,,,248,226,0.523,4,,,
Scott Nagy,Wright State,Horizon,20,12,0.625,,,,2016-17,20,12,0.625,,,,,210,175,0.545,3,,,
Allen Edwards,Wyoming,MWC,23,15,0.605,,,,2016-17,23,15,0.605,,,,,23,15,0.605,,,,
Chris Mack,Xavier,Big East,24,14,0.632,7,,Lost Regional Final,2009-10,186,91,0.671,7,4,,,186,91,0.671,7,4,,
James Jones,Yale,Ivy,18,11,0.621,,,,1999-00,272,250,0.521,1,,,,272,250,0.521,1,,,
Jerry Slocum,Youngstown State,Horizon,13,21,0.382,,,,2005-06,142,232,0.38,,,,,142,232,0.38,,,,
